# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.84552e-35 4.17448e-34 2.36044e-33 2.79634e-33
1 1.0181e-08 9.89251e-09 9.91311e-09 2.99867e-08
2 4.07279e-08 3.95736e-08 3.9656e-08 1.19958e-07
3 9.16463e-08 8.90487e-08 8.92342e-08 2.69929e-07
4 1.62942e-07 1.58323e-07 1.58653e-07 4.79918e-07
5 2.54621e-07 2.47403e-07 2.47919e-07 7.49942e-07
6 3.66689e-07 3.56293e-07 3.57036e-07 1.08002e-06
7 4.99151e-07 4.84999e-07 4.86011e-07 1.47016e-06
8 6.52015e-07 6.33527e-07 6.3485e-07 1.92039e-06
9 8.25286e-07 8.01883e-07 8.03559e-07 2.43073e-06
10 1.01897e-06 9.90073e-07 9.92143e-07 3.00119e-06
11 1.23307e-06 1.1981e-06 1.20061e-06 3.63179e-06
12 1.4676e-06 1.42598e-06 1.42896e-06 4.32254e-06
13 1.72257e-06 1.6737e-06 1.67721e-06 5.07348e-06
14 1.99797e-06 1.94129e-06 1.94535e-06 5.88461e-06
15 2.29381e-06 2.22874e-06 2.2334e-06 6.75595e-06
16 2.61011e-06 2.53606e-06 2.54137e-06 7.68753e-06
17 2.94686e-06 2.86325e-06 2.86925e-06 8.67936e-06
18 3.30408e-06 3.21033e-06 3.21705e-06 9.73146e-06
19 3.68177e-06 3.57729e-06 3.58479e-06 1.08439e-05
20 4.07994e-06 3.96415e-06 3.97246e-06 1.20166e-05
21 4.49859e-06 4.37091e-06 4.38008e-06 1.32496e-05
22 4.93774e-06 4.79758e-06 4.80764e-06 1.4543e-05
23 5.39738e-06 5.24416e-06 5.25517e-06 1.58967e-05
24 5.87752e-06 5.71067e-06 5.72265e-06 1.73108e-05
25 6.37818e-06 6.19709e-06 6.2101e-06 1.87854e-05
26 6.89935e-06 6.70345e-06 6.71753e-06 2.03203e-05
27 7.44105e-06 7.22975e-06 7.24493e-06 2.19157e-05
28 8.00328e-06 7.776e-06 7.79233e-06 2.35716e-05
29 8.58604e-06 8.3422e-06 8.35972e-06 2.5288e-05
30 9.18935e-06 8.92835e-06 8.9471e-06 2.70648e-05
31 9.81321e-06 9.53447e-06 9.55449e-06 2.89022e-05
32 1.04576e-05 1.01606e-05 1.01819e-05 3.08001e-05
33 1.11226e-05 1.08066e-05 1.08293e-05 3.27585e-05
34 1.18081e-05 1.14727e-05 1.14968e-05 3.47776e-05
35 1.25143e-05 1.21587e-05 1.21842e-05 3.68572e-05
36 1.3241e-05 1.28647e-05 1.28918e-05 3.89975e-05
37 1.39883e-05 1.35908e-05 1.36193e-05 4.11983e-05
38 1.47562e-05 1.43368e-05 1.43669e-05 4.34599e-05
39 1.55446e-05 1.51028e-05 1.51346e-05 4.5782e-05
40 1.63537e-05 1.58889e-05 1.59223e-05 4.81649e-05
41 1.71834e-05 1.6695e-05 1.67301e-05 5.06085e-05
42 1.80338e-05 1.75211e-05 1.75579e-05 5.31128e-05
43 1.89047e-05 1.83673e-05 1.84058e-05 5.56778e-05
44 1.97963e-05 1.92334e-05 1.92738e-05 5.83036e-05
45 2.07085e-05 2.01197e-05 2.01619e-05 6.09901e-05
46 2.16414e-05 2.1026e-05 2.10701e-05 6.37374e-05
47 2.25949e-05 2.19523e-05 2.19984e-05 6.65456e-05
48 2.3569e-05 2.28987e-05 2.29468e-05 6.94145e-05
49 2.45639e-05 2.38652e-05 2.39153e-05 7.23443e-05
50 2.55793e-05 2.48517e-05 2.49039e-05 7.53349e-05
51 2.66155e-05 2.58583e-05 2.59126e-05 7.83864e-05
52 2.76723e-05 2.6885e-05 2.69414e-05 8.14987e-05
53 2.87498e-05 2.79318e-05 2.79904e-05 8.4672e-05
54 2.9848e-05 2.89987e-05 2.90595e-05 8.79061e-05
55 3.09668e-05 3.00856e-05 3.01487e-05 9.12011e-05
56 3.21064e-05 3.11927e-05 3.1258e-05 9.45571e-05
57 3.32667e-05 3.23198e-05 3.23875e-05 9.7974e-05
58 3.44476e-05 3.34671e-05 3.35372e-05 0.000101452
59 3.56493e-05 3.46345e-05 3.4707e-05 0.000104991
60 3.68716e-05 3.5822e-05 3.58969e-05 0.000108591
61 3.81147e-05 3.70296e-05 3.71071e-05 0.000112251
62 3.93785e-05 3.82573e-05 3.83373e-05 0.000115973
63 4.0663e-05 3.95052e-05 3.95878e-05 0.000119756
64 4.19683e-05 4.07732e-05 4.08584e-05 0.0001236
65 4.32943e-05 4.20613e-05 4.21491e-05 0.000127505
66 4.4641e-05 4.33695e-05 4.34601e-05 0.000131471
67 4.60084e-05 4.46979e-05 4.47912e-05 0.000135498
68 4.73966e-05 4.60464e-05 4.61425e-05 0.000139586
69 4.88055e-05 4.74151e-05 4.7514e-05 0.000143735
70 5.02351e-05 4.88039e-05 4.89056e-05 0.000147945
71 5.16855e-05 5.02129e-05 5.03175e-05 0.000152216
72 5.31567e-05 5.1642e-05 5.17495e-05 0.000156548
73 5.46486e-05 5.30913e-05 5.32017e-05 0.000160942
74 5.61612e-05 5.45607e-05 5.46741e-05 0.000165396
75 5.76946e-05 5.60503e-05 5.61667e-05 0.000169912
76 5.92488e-05 5.756e-05 5.76795e-05 0.000174488
77 6.08237e-05 5.90899e-05 5.92125e-05 0.000179126
78 6.24194e-05 6.064e-05 6.07657e-05 0.000183825
79 6.40358e-05 6.22102e-05 6.23391e-05 0.000188585
80 6.5673e-05 6.38006e-05 6.39327e-05 0.000193406
81 6.7331e-05 6.54111e-05 6.55465e-05 0.000198289
82 6.90097e-05 6.70418e-05 6.71805e-05 0.000203232
83 7.07092e-05 6.86927e-05 6.88347e-05 0.000208237
84 7.24295e-05 7.03637e-05 7.05091e-05 0.000213302
85 7.41705e-05 7.20549e-05 7.22037e-05 0.000218429
86 7.59323e-05 7.37663e-05 7.39185e-05 0.000223617
87 7.77149e-05 7.54979e-05 7.56535e-05 0.000228866
88 7.95182e-05 7.72496e-05 7.74087e-05 0.000234177
89 8.13423e-05 7.90215e-05 7.91841e-05 0.000239548
90 8.31872e-05 8.08135e-05 8.09797e-05 0.00024498
91 8.50529e-05 8.26257e-05 8.27956e-05 0.000250474
92 8.69393e-05 8.44581e-05 8.46316e-05 0.000256029
93 8.88465e-05 8.63107e-05 8.64878e-05 0.000261645
94 9.07744e-05 8.81834e-05 8.83642e-05 0.000267322
95 9.27231e-05 9.00763e-05 9.02608e-05 0.00027306
96 9.46926e-05 9.19893e-05 9.21776e-05 0.00027886
97 9.66828e-05 9.39226e-05 9.41146e-05 0.00028472
98 9.86939e-05 9.58759e-05 9.60718e-05 0.000290642
99 0.000100726 9.78495e-05 9.80492e-05 0.000296624
100 0.000102778 9.98432e-05 0.000100047 0.000302668
101 0.000104851 0.000101857 0.000102065 0.000308773
102 0.000106946 0.000103891 0.000104102 0.000314939
103 0.00010906 0.000105945 0.000106161 0.000321166
104 0.000111196 0.00010802 0.000108239 0.000327454
105 0.000113352 0.000110114 0.000110337 0.000333804
106 0.000115529 0.000112229 0.000112456 0.000340214
107 0.000117727 0.000114363 0.000114595 0.000346685
108 0.000119946 0.000116518 0.000116754 0.000353218
109 0.000122185 0.000118693 0.000118933 0.000359811
110 0.000124445 0.000120888 0.000121132 0.000366466
111 0.000126726 0.000123104 0.000123352 0.000373181
112 0.000129027 0.000125339 0.000125592 0.000379958
113 0.000131349 0.000127595 0.000127851 0.000386796
114 0.000133692 0.00012987 0.000130131 0.000393694
115 0.000136056 0.000132166 0.000132431 0.000400654
116 0.00013844 0.000134482 0.000134752 0.000407674
117 0.000140846 0.000136818 0.000137092 0.000414756
118 0.000143271 0.000139174 0.000139453 0.000421898
119 0.000145718 0.000141551 0.000141833 0.000429102
120 0.000148185 0.000143947 0.000144234 0.000436366
121 0.000150673 0.000146363 0.000146655 0.000443691
122 0.000153182 0.0001488 0.000149096 0.000451077
123 0.000155711 0.000151256 0.000151557 0.000458524
124 0.000158261 0.000153733 0.000154038 0.000466032
125 0.000160832 0.00015623 0.000156539 0.000473601
126 0.000163423 0.000158747 0.000159061 0.000481231
127 0.000166035 0.000161284 0.000161602 0.000488921
128 0.000168668 0.000163841 0.000164164 0.000496672
129 0.000171321 0.000166418 0.000166746 0.000504484
130 0.000173995 0.000169015 0.000169347 0.000512357
131 0.00017669 0.000171632 0.000171969 0.00052029
132 0.000179405 0.000174269 0.000174611 0.000528284
133 0.000182141 0.000176926 0.000177273 0.000536339
134 0.000184897 0.000179603 0.000179955 0.000544455
135 0.000187674 0.0001823 0.000182656 0.000552631
136 0.000190472 0.000185017 0.000185378 0.000560868
137 0.00019329 0.000187755 0.00018812 0.000569165
138 0.000196129 0.000190512 0.000190882 0.000577524
139 0.000198989 0.000193289 0.000193664 0.000585942
140 0.000201869 0.000196086 0.000196466 0.000594421
141 0.00020477 0.000198903 0.000199288 0.000602961
142 0.000207691 0.00020174 0.00020213 0.000611562
143 0.000210633 0.000204597 0.000204992 0.000620222
144 0.000213595 0.000207474 0.000207874 0.000628944
