# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
0 1.01801 0.989163 0.991221 2.9984
1 1.01811 0.989251 0.991311 2.99867
2 1.0182 0.989341 0.991401 2.99894
3 1.01829 0.989431 0.991492 2.99922
4 1.01839 0.989522 0.991584 2.9995
5 1.01849 0.989613 0.991677 2.99978
6 1.01858 0.989706 0.991771 3.00006
7 1.01868 0.989799 0.991865 3.00035
8 1.01878 0.989893 0.99196 3.00063
9 1.01888 0.989988 0.992056 3.00092
10 1.01898 0.990083 0.992152 3.00122
11 1.01908 0.990179 0.992249 3.00151
12 1.01918 0.990276 0.992347 3.00181
13 1.01929 0.990373 0.992445 3.0021
14 1.01939 0.990471 0.992543 3.0024
15 1.01949 0.990569 0.992642 3.0027
16 1.0196 0.990668 0.992742 3.00301
17 1.0197 0.990767 0.992842 3.00331
18 1.0198 0.990867 0.992942 3.00361
19 1.01991 0.990967 0.993042 3.00392
20 1.02001 0.991067 0.993143 3.00422
21 1.02012 0.991167 0.993244 3.00453
22 1.02023 0.991268 0.993345 3.00484
23 1.02033 0.991369 0.993446 3.00515
24 1.02044 0.991469 0.993548 3.00545
25 1.02054 0.99157 0.993649 3.00576
26 1.02065 0.991671 0.99375 3.00607
27 1.02076 0.991772 0.993852 3.00638
28 1.02086 0.991873 0.993953 3.00669
29 1.02097 0.991974 0.994054 3.007
30 1.02107 0.992075 0.994155 3.0073
31 1.02118 0.992176 0.994255 3.00761
32 1.02129 0.992276 0.994356 3.00792
33 1.02139 0.992376 0.994456 3.00822
34 1.0215 0.992476 0.994556 3.00853
35 1.0216 0.992575 0.994655 3.00883
36 1.0217 0.992674 0.994754 3.00913
37 1.02181 0.992773 0.994853 3.00943
38 1.02191 0.992871 0.99495 3.00973
39 1.02201 0.992968 0.995048 3.01003
40 1.02212 0.993065 0.995145 3.01033
41 1.02222 0.993162 0.995241 3.01062
42 1.02232 0.993258 0.995336 3.01091
43 1.02242 0.993353 0.995431 3.0112
44 1.02252 0.993447 0.995525 3.01149
45 1.02262 0.993541 0.995618 3.01177
46 1.02271 0.993633 0.99571 3.01206
47 1.02281 0.993725 0.995802 3.01234
48 1.02291 0.993817 0.995892 3.01261
49 1.023 0.993907 0.995982 3.01289
50 1.0231 0.993996 0.99607 3.01316
51 1.02319 0.994084 0.996158 3.01343
52 1.02328 0.994172 0.996244 3.0137
53 1.02337 0.994258 0.99633 3.01396
54 1.02346 0.994343 0.996414 3.01422
55 1.02355 0.994427 0.996497 3.01447
56 1.02364 0.99451 0.996579 3.01473
57 1.02372 0.994592 0.99666 3.01498
58 1.02381 0.994673 0.99674 3.01522
59 1.02389 0.994752 0.996818 3.01546
60 1.02398 0.99483 0.996895 3.0157
61 1.02406 0.994907 0.996971 3.01594
62 1.02414 0.994983 0.997045 3.01617
63 1.02422 0.995057 0.997119 3.01639
64 1.02429 0.99513 0.99719 3.01661
65 1.02437 0.995202 0.997261 3.01683
66 1.02444 0.995272 0.99733 3.01705
67 1.02452 0.995341 0.997397 3.01726
68 1.02459 0.995409 0.997463 3.01746
69 1.02466 0.995475 0.997528 3.01766
70 1.02473 0.99554 0.997591 3.01786
71 1.0248 0.995603 0.997652 3.01805
72 1.02486 0.995665 0.997712 3.01824
73 1.02493 0.995725 0.997771 3.01842
74 1.02499 0.995784 0.997828 3.0186
75 1.02505 0.995841 0.997883 3.01877
76 1.02511 0.995897 0.997937 3.01894
77 1.02517 0.995951 0.99799 3.01911
78 1.02522 0.996004 0.99804 3.01927
79 1.02528 0.996055 0.998089 3.01942
80 1.02533 0.996104 0.998137 3.01957
81 1.02538 0.996152 0.998183 3.01972
82 1.02543 0.996199 0.998227 3.01986
83 1.02548 0.996243 0.998269 3.01999
84 1.02553 0.996286 0.99831 3.02012
85 1.02557 0.996328 0.998349 3.02025
86 1.02561 0.996368 0.998387 3.02037
87 1.02566 0.996406 0.998422 3.02048
88 1.0257 0.996443 0.998456 3.0206
89 1.02573 0.996477 0.998489 3.0207
90 1.02577 0.996511 0.99852 3.0208
91 1.02581 0.996542 0.998548 3.0209
92 1.02584 0.996572 0.998576 3.02099
93 1.02587 0.9966 0.998601 3.02107
94 1.0259 0.996627 0.998625 3.02115
95 1.02593 0.996652 0.998647 3.02123
96 1.02595 0.996675 0.998667 3.02129
97 1.02598 0.996696 0.998686 3.02136
98 1.026 0.996716 0.998703 3.02142
99 1.02602 0.996734 0.998718 3.02147
100 1.02604 0.99675 0.998731 3.02152
101 1.02606 0.996765 0.998742 3.02156
102 1.02607 0.996777 0.998752 3.0216
103 1.02609 0.996789 0.99876 3.02163
104 1.0261 0.996798 0.998766 3.02166
105 1.02611 0.996806 0.99877 3.02168
106 1.02612 0.996811 0.998773 3.0217
107 1.02612 0.996816 0.998774 3.02171
108 1.02613 0.996818 0.998773 3.02172
109 1.02613 0.996818 0.99877 3.02172
110 1.02613 0.996817 0.998765 3.02171
111 1.02613 0.996814 0.998759 3.0217
112 1.02613 0.99681 0.99875 3.02169
113 1.02612 0.996803 0.99874 3.02167
114 1.02612 0.996795 0.998728 3.02164
115 1.02611 0.996785 0.998715 3.02161
116 1.0261 0.996773 0.998699 3.02157
117 1.02609 0.99676 0.998682 3.02153
118 1.02607 0.996744 0.998662 3.02148
119 1.02606 0.996727 0.998641 3.02143
120 1.02604 0.996708 0.998618 3.02137
121 1.02602 0.996688 0.998594 3.0213
122 1.026 0.996665 0.998567 3.02123
123 1.02598 0.996641 0.998539 3.02116
124 1.02595 0.996615 0.998508 3.02107
125 1.02593 0.996587 0.998476 3.02099
126 1.0259 0.996557 0.998442 3.0209
127 1.02587 0.996525 0.998406 3.0208
128 1.02583 0.996492 0.998368 3.02069
129 1.0258 0.996457 0.998329 3.02059
130 1.02576 0.996419 0.998287 3.02047
131 1.02573 0.996381 0.998244 3.02035
132 1.02569 0.99634 0.998198 3.02023
133 1.02565 0.996297 0.998151 3.02009
134 1.0256 0.996253 0.998102 3.01996
135 1.02556 0.996206 0.998051 3.01981
136 1.02551 0.996158 0.997998 3.01967
