# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.45883e-32 1.06734e-32 1.28946e-32 3.81563e-32
1 9.99346e-07 1.01e-06 9.96534e-07 3.00588e-06
2 3.99617e-06 4.03994e-06 3.98554e-06 1.20217e-05
3 8.98778e-06 9.08882e-06 8.96524e-06 2.70418e-05
4 1.59703e-05 1.61543e-05 1.59326e-05 4.80573e-05
5 2.49389e-05 2.5233e-05 2.48834e-05 7.50553e-05
6 3.58872e-05 3.63201e-05 3.58123e-05 0.00010802
7 4.88083e-05 4.94094e-05 4.87126e-05 0.00014693
8 6.36936e-05 6.44939e-05 6.35764e-05 0.000191764
9 8.05338e-05 8.15649e-05 8.03947e-05 0.000242493
10 9.93183e-05 0.000100613 9.91573e-05 0.000299088
11 0.000120036 0.000121626 0.000119853 0.000361515
12 0.000142673 0.000144594 0.000142469 0.000429736
13 0.000167217 0.000169502 0.000166991 0.00050371
14 0.000193653 0.000196335 0.000193406 0.000583394
15 0.000221965 0.000225079 0.000221696 0.00066874
16 0.000252136 0.000255715 0.000251845 0.000759697
17 0.000284149 0.000288227 0.000283835 0.000856212
18 0.000317986 0.000322595 0.000317647 0.000958228
19 0.000353625 0.000358799 0.00035326 0.00106568
20 0.000391048 0.000396817 0.000390654 0.00117852
21 0.000430233 0.000436628 0.000429805 0.00129667
22 0.000471157 0.000478207 0.000470693 0.00142006
23 0.000513798 0.000521531 0.000513291 0.00154862
24 0.000558131 0.000566575 0.000557576 0.00168228
25 0.000604132 0.000613311 0.000603522 0.00182097
26 0.000651776 0.000661714 0.000651102 0.00196459
27 0.000701035 0.000711755 0.00070029 0.00211308
28 0.000751884 0.000763405 0.000751057 0.00226635
29 0.000804294 0.000816635 0.000803374 0.0024243
30 0.000858236 0.000871414 0.000857212 0.00258686
31 0.000913683 0.000927712 0.000912542 0.00275394
32 0.000970603 0.000985496 0.000969332 0.00292543
33 0.00102897 0.00104473 0.00102755 0.00310125
34 0.00108874 0.00110539 0.00108717 0.0032813
35 0.0011499 0.00116744 0.00114815 0.00346549
36 0.00121241 0.00123084 0.00121046 0.00365371
37 0.00127623 0.00129555 0.00127407 0.00384586
38 0.00134133 0.00136155 0.00133895 0.00404184
39 0.00140769 0.0014288 0.00140506 0.00424154
40 0.00147525 0.00149726 0.00147236 0.00444487
41 0.001544 0.00156689 0.00154082 0.00465172
42 0.00161389 0.00163767 0.00161041 0.00486197
43 0.00168489 0.00170954 0.00168108 0.00507551
44 0.00175697 0.00178247 0.00175281 0.00529225
45 0.00183008 0.00185644 0.00182555 0.00551207
46 0.00190419 0.00193139 0.00189928 0.00573485
47 0.00197926 0.00200728 0.00197394 0.00596049
48 0.00205526 0.0020841 0.00204951 0.00618886
49 0.00213214 0.00216178 0.00212595 0.00641987
50 0.00220987 0.0022403 0.00220322 0.00665339
51 0.00228842 0.00231962 0.00228128 0.00688931
52 0.00236774 0.00239969 0.00236009 0.00712752
53 0.00244779 0.00248049 0.00243962 0.0073679
54 0.00252853 0.00256197 0.00251983 0.00761034
55 0.00260994 0.00264409 0.00260069 0.00785472
56 0.00269196 0.00272682 0.00268214 0.00810092
57 0.00277456 0.00281012 0.00276417 0.00834884
58 0.0028577 0.00289394 0.00284672 0.00859836
59 0.00294134 0.00297826 0.00292976 0.00884936
60 0.00302544 0.00306303 0.00301326 0.00910173
61 0.00310997 0.00314822 0.00309717 0.00935536
62 0.00319488 0.00323379 0.00318147 0.00961013
63 0.00328014 0.0033197 0.0032661 0.00986594
64 0.00336571 0.00340592 0.00335105 0.0101227
65 0.00345154 0.0034924 0.00343627 0.0103802
66 0.00353761 0.00357912 0.00352172 0.0106385
67 0.00362388 0.00366604 0.00360737 0.0108973
68 0.00371031 0.00375312 0.00369319 0.0111566
69 0.00379685 0.00384033 0.00377914 0.0114163
70 0.00388349 0.00392763 0.00386518 0.0116763
71 0.00397017 0.00401498 0.00395128 0.0119364
72 0.00405687 0.00410236 0.00403741 0.0121966
73 0.00414355 0.00418973 0.00412354 0.0124568
74 0.00423018 0.00427705 0.00420962 0.0127168
75 0.00431672 0.00436429 0.00429563 0.0129766
76 0.00440313 0.00445143 0.00438155 0.0132361
77 0.0044894 0.00453842 0.00446732 0.0134951
78 0.00457548 0.00462524 0.00455293 0.0137536
79 0.00466134 0.00471186 0.00463834 0.0140115
80 0.00474695 0.00479824 0.00472353 0.0142687
81 0.00483229 0.00488436 0.00480846 0.0145251
82 0.00491732 0.00497019 0.00489311 0.0147806
83 0.00500202 0.00505569 0.00497744 0.0150351
84 0.00508635 0.00514085 0.00506143 0.0152886
85 0.00517029 0.00522562 0.00514506 0.015541
86 0.00525382 0.00530999 0.00522829 0.0157921
87 0.0053369 0.00539393 0.00531111 0.0160419
88 0.00541952 0.00547742 0.00539348 0.0162904
89 0.00550164 0.00556042 0.00547538 0.0165374
90 0.00558324 0.00564292 0.00555679 0.016783
91 0.00566431 0.00572489 0.00563768 0.0170269
92 0.00574481 0.00580631 0.00571804 0.0172692
93 0.00582474 0.00588715 0.00579784 0.0175097
94 0.00590405 0.0059674 0.00587706 0.0177485
95 0.00598274 0.00604703 0.00595568 0.0179854
96 0.00606079 0.00612602 0.00603368 0.0182205
97 0.00613817 0.00620436 0.00611104 0.0184536
98 0.00621486 0.00628202 0.00618774 0.0186846
99 0.00629086 0.00635899 0.00626377 0.0189136
100 0.00636614 0.00643525 0.0063391 0.0191405
101 0.00644068 0.00651078 0.00641372 0.0193652
102 0.00651448 0.00658557 0.00648762 0.0195877
103 0.0065875 0.00665959 0.00656078 0.0198079
104 0.00665975 0.00673285 0.00663318 0.0200258
105 0.00673119 0.00680531 0.00670481 0.0202413
106 0.00680183 0.00687697 0.00677565 0.0204545
107 0.00687165 0.00694781 0.00684569 0.0206652
108 0.00694063 0.00701782 0.00691493 0.0208734
109 0.00700877 0.00708699 0.00698334 0.0210791
110 0.00707605 0.00715531 0.00705091 0.0212823
111 0.00714246 0.00722276 0.00711763 0.0214829
112 0.00720799 0.00728933 0.0071835 0.0216808
113 0.00727263 0.00735503 0.0072485 0.0218762
114 0.00733638 0.00741982 0.00731262 0.0220688
115 0.00739922 0.00748372 0.00737585 0.0222588
116 0.00746115 0.0075467 0.00743819 0.022446
117 0.00752216 0.00760876 0.00749962 0.0226305
118 0.00758225 0.00766989 0.00756015 0.0228123
119 0.0076414 0.00773009 0.00761975 0.0229912
120 0.00769961 0.00778935 0.00767842 0.0231674
121 0.00775688 0.00784766 0.00773617 0.0233407
122 0.0078132 0.00790502 0.00779298 0.0235112
123 0.00786858 0.00796142 0.00784885 0.0236789
124 0.007923 0.00801686 0.00790378 0.0238436
125 0.00797646 0.00807134 0.00795776 0.0240056
126 0.00802896 0.00812485 0.00801079 0.0241646
127 0.00808051 0.00817739 0.00806287 0.0243208
128 0.00813109 0.00822896 0.00811399 0.024474
129 0.00818071 0.00827956 0.00816416 0.0246244
130 0.00822936 0.00832918 0.00821337 0.0247719
131 0.00827706 0.00837782 0.00826163 0.0249165
132 0.00832379 0.00842549 0.00830894 0.0250582
133 0.00836956 0.00847218 0.00835529 0.025197
134 0.00841438 0.0085179 0.0084007 0.025333
135 0.00845824 0.00856265 0.00844516 0.025466
136 0.00850114 0.00860642 0.00848867 0.0255962
137 0.0085431 0.00864923 0.00853124 0.0257236
138 0.00858411 0.00869106 0.00857288 0.0258481
139 0.00862418 0.00873194 0.00861358 0.0259697
140 0.00866331 0.00877185 0.00865336 0.0260885
141 0.00870151 0.0088108 0.00869222 0.0262045
142 0.00873878 0.0088488 0.00873016 0.0263177
143 0.00877513 0.00888586 0.00876719 0.0264282
144 0.00881056 0.00892196 0.00880332 0.0265358
145 0.00884509 0.00895713 0.00883856 0.0266408
146 0.00887872 0.00899136 0.0088729 0.026743
147 0.00891145 0.00902467 0.00890637 0.0268425
148 0.0089433 0.00905705 0.00893897 0.0269393
149 0.00897426 0.00908852 0.0089707 0.0270335
150 0.00900436 0.00911908 0.00900158 0.027125
151 0.0090336 0.00914874 0.00903161 0.0272139
152 0.00906199 0.0091775 0.00906081 0.0273003
153 0.00908953 0.00920537 0.00908918 0.0273841
154 0.00911625 0.00923237 0.00911673 0.0274653
155 0.00914214 0.00925849 0.00914347 0.0275441
156 0.00916722 0.00928375 0.00916942 0.0276204
157 0.0091915 0.00930816 0.00919458 0.0276942
158 0.00921499 0.00933173 0.00921897 0.0277657
159 0.0092377 0.00935446 0.00924259 0.0278347
160 0.00925964 0.00937636 0.00926545 0.0279015
161 0.00928083 0.00939745 0.00928757 0.0279658
162 0.00930127 0.00941774 0.00930895 0.028028
163 0.00932098 0.00943723 0.00932961 0.0280878
164 0.00933997 0.00945594 0.00934956 0.0281455
165 0.00935825 0.00947388 0.00936881 0.0282009
166 0.00937583 0.00949106 0.00938736 0.0282543
167 0.00939273 0.00950749 0.00940524 0.0283055
168 0.00940897 0.00952318 0.00942245 0.0283546
169 0.00942454 0.00953815 0.009439 0.0284017
170 0.00943947 0.00955241 0.00945491 0.0284468
171 0.00945376 0.00956597 0.00947018 0.0284899
172 0.00946744 0.00957885 0.00948482 0.0285311
173 0.00948051 0.00959105 0.00949886 0.0285704
174 0.00949299 0.00960259 0.00951229 0.0286079
175 0.00950489 0.00961349 0.00952513 0.0286435
176 0.00951622 0.00962375 0.00953738 0.0286774
177 0.00952699 0.0096334 0.00954907 0.0287095
178 0.00953723 0.00964243 0.0095602 0.0287399
179 0.00954693 0.00965088 0.00957078 0.0287686
