# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
0 0.999355 1.00971 0.996381 3.00544
1 0.998898 1.00955 0.996086 3.00453
2 0.997846 1.00879 0.995192 3.00183
3 0.9962 1.00743 0.993701 2.99733
4 0.993962 1.00547 0.991614 2.99104
5 0.991135 1.00291 0.988933 2.98297
6 0.987721 0.999753 0.985661 2.97313
7 0.983725 0.996008 0.981802 2.96154
8 0.979152 0.991677 0.97736 2.94819
9 0.974008 0.986764 0.97234 2.93311
10 0.968297 0.981275 0.966747 2.91632
11 0.962027 0.975216 0.960588 2.89783
12 0.955204 0.968594 0.95387 2.87767
13 0.947838 0.961418 0.9466 2.85586
14 0.939936 0.953694 0.938786 2.83242
15 0.931507 0.945432 0.930438 2.80738
16 0.922561 0.936641 0.921564 2.78077
17 0.913109 0.927331 0.912174 2.75261
18 0.903159 0.917512 0.902278 2.72295
19 0.892724 0.907196 0.891889 2.69181
20 0.881815 0.896392 0.881016 2.65922
21 0.870444 0.885114 0.869671 2.62523
22 0.858623 0.873373 0.857868 2.58986
23 0.846364 0.861183 0.845618 2.55316
24 0.833681 0.848554 0.832934 2.51517
25 0.820587 0.835502 0.819831 2.47592
26 0.807096 0.822039 0.80632 2.43546
27 0.793221 0.80818 0.792417 2.39382
28 0.778976 0.793937 0.778136 2.35105
29 0.764375 0.779327 0.763491 2.30719
30 0.749434 0.764362 0.748496 2.26229
31 0.734166 0.749058 0.733167 2.21639
32 0.718586 0.733429 0.717519 2.16953
33 0.702708 0.717491 0.701566 2.12176
34 0.686549 0.701258 0.685323 2.07313
35 0.670122 0.684745 0.668806 2.02367
36 0.653442 0.667968 0.652031 1.97344
37 0.636525 0.650942 0.635011 1.92248
38 0.619384 0.633683 0.617763 1.87083
39 0.602036 0.616204 0.600302 1.81854
40 0.584495 0.598523 0.582642 1.76566
41 0.566775 0.580653 0.564799 1.71223
42 0.548891 0.56261 0.546788 1.65829
43 0.530858 0.54441 0.528624 1.60389
44 0.512691 0.526066 0.510321 1.54908
45 0.494403 0.507595 0.491894 1.49389
46 0.476009 0.48901 0.473358 1.43838
47 0.457523 0.470327 0.454727 1.38258
48 0.438958 0.451561 0.436016 1.32653
49 0.420329 0.432725 0.417238 1.27029
50 0.401649 0.413834 0.398408 1.21389
51 0.382932 0.394903 0.379539 1.15737
52 0.364191 0.375945 0.360646 1.10078
53 0.345438 0.356973 0.341742 1.04415
54 0.326688 0.338003 0.32284 0.98753
55 0.307952 0.319046 0.303953 0.930951
56 0.289243 0.300116 0.285095 0.874453
57 0.270574 0.281226 0.266277 0.818077
58 0.251956 0.262388 0.247513 0.761857
59 0.233402 0.243615 0.228815 0.705832
60 0.214923 0.224919 0.210195 0.650036
61 0.19653 0.206312 0.191663 0.594506
62 0.178236 0.187804 0.173233 0.539273
63 0.16005 0.169408 0.154915 0.484374
64 0.141984 0.151135 0.13672 0.429839
65 0.124048 0.132994 0.118658 0.3757
66 0.106253 0.114996 0.10074 0.321989
67 0.0886086 0.0971515 0.0829757 0.268736
68 0.0711243 0.0794699 0.065375 0.215969
69 0.0538098 0.0619607 0.0479474 0.163718
70 0.0366743 0.0446331 0.0307019 0.112009
71 0.0197268 0.0274959 0.0136475 0.0608702
72 0.002976 0.0105577 -0.00320724 0.0103265
73 -0.0135697 -0.00617312 -0.0198541 -0.0395969
74 -0.0299022 -0.0226886 -0.0362849 -0.0888757
75 -0.0460136 -0.0389809 -0.052492 -0.137487
76 -0.0618965 -0.0550425 -0.068468 -0.185407
77 -0.0775434 -0.0708664 -0.0842055 -0.232615
78 -0.0929474 -0.0864455 -0.0996977 -0.279091
79 -0.108102 -0.101773 -0.114938 -0.324813
80 -0.123 -0.116843 -0.12992 -0.369763
81 -0.137637 -0.131649 -0.144637 -0.413923
82 -0.152005 -0.146185 -0.159085 -0.457275
83 -0.1661 -0.160446 -0.173256 -0.499802
84 -0.179917 -0.174426 -0.187147 -0.541489
85 -0.193449 -0.18812 -0.200752 -0.582321
86 -0.206694 -0.201523 -0.214066 -0.622283
87 -0.219646 -0.214632 -0.227085 -0.661362
88 -0.232301 -0.227441 -0.239805 -0.699546
89 -0.244655 -0.239946 -0.252221 -0.736823
90 -0.256706 -0.252144 -0.264332 -0.773182
91 -0.26845 -0.264031 -0.276133 -0.808614
92 -0.279884 -0.275605 -0.287621 -0.843109
93 -0.291005 -0.286861 -0.298793 -0.876659
94 -0.301811 -0.297797 -0.309648 -0.909257
95 -0.312301 -0.308412 -0.320182 -0.940895
96 -0.322472 -0.318702 -0.330395 -0.971569
97 -0.332323 -0.328666 -0.340284 -1.00127
98 -0.341852 -0.338302 -0.349849 -1.03
99 -0.35106 -0.347609 -0.359087 -1.05776
100 -0.359944 -0.356587 -0.367999 -1.08453
101 -0.368505 -0.365233 -0.376584 -1.11032
102 -0.376742 -0.373548 -0.38484 -1.13513
103 -0.384655 -0.381531 -0.392769 -1.15896
104 -0.392245 -0.389184 -0.40037 -1.1818
105 -0.399512 -0.396505 -0.407644 -1.20366
106 -0.406456 -0.403496 -0.414591 -1.22454
107 -0.413078 -0.410158 -0.421211 -1.24445
108 -0.419381 -0.416492 -0.427507 -1.26338
109 -0.425363 -0.422499 -0.433479 -1.28134
110 -0.431028 -0.428182 -0.439128 -1.29834
111 -0.436377 -0.433542 -0.444456 -1.31437
112 -0.441412 -0.438582 -0.449464 -1.32946
113 -0.446134 -0.443304 -0.454156 -1.34359
114 -0.450546 -0.44771 -0.458532 -1.35679
115 -0.45465 -0.451804 -0.462595 -1.36905
