Time,TotEng,Temp,Press,,Step,TotEng,Temp,Press,Density
0,-3.0327711,1.5,0.89516323,,0,-1.6023682,1.3923131,0.6674602,0.59028667
0.01,-3.0327767,1.4651919,1.0889777,,10,-1.6241678,1.3589707,0.75500968,0.59021693
0.02,-3.0322577,1.3590233,1.6724772,,20,-1.6409277,1.3213587,0.86842997,0.59019401
0.03,-3.0261046,1.1855361,2.6146636,,30,-1.6520675,1.2913926,0.96047938,0.59019629
0.04,-3.0166405,0.97474002,3.7432671,,40,-1.6571523,1.2867175,0.9665831,0.59020661
0.05,-3.0113456,0.79659543,4.6958808,,50,-1.6580919,1.3130451,0.8644247,0.59022421
0.06,-3.0101721,0.72000906,5.137169,,60,-1.6533297,1.3566971,0.70675163,0.5902685
0.07,-3.0093121,0.74588903,5.0603772,,70,-1.6440598,1.3940631,0.57957764,0.59036931
0.08,-3.0077886,0.8211691,4.7150172,,80,-1.6330755,1.4110229,0.53426054,0.59055124
0.09,-3.0072819,0.89678263,4.3398222,,90,-1.6178294,1.4105769,0.56698863,0.5908236
0.1,-3.0059698,0.9527566,4.0470411,,100,-1.5990514,1.4096274,0.61996862,0.59118115
0.11,-3.0062205,0.99236668,3.8295215,,110,-1.5776528,1.4264745,0.62968025,0.59161475
0.12,-3.0051679,1.0253175,3.6506802,,120,-1.5541125,1.460502,0.59697222,0.59212284
0.13,-3.0041171,1.0598351,3.4685834,,130,-1.5287192,1.4894848,0.59535709,0.59271109
0.14,-3.0054208,1.1012796,3.250748,,140,-1.498654,1.4950334,0.68818367,0.59337902
0.15,-3.0052888,1.1510262,2.9925254,,150,-1.4674913,1.4803498,0.85540615,0.59410897
0.16,-3.002941,1.2081666,2.6965935,,160,-1.4333848,1.4779873,0.98485359,0.59487002
0.17,-3.002159,1.2712657,2.3625998,,170,-1.3952364,1.508072,1.0070529,0.59563789
0.18,-3.0017701,1.3380669,2.0043619,,180,-1.3528565,1.5476576,0.99716455,0.59640676
0.19,-3.0016509,1.4032993,1.6501762,,190,-1.3058005,1.5838507,1.0014079,0.59717785
0.2,-3.0012712,1.4582703,1.3465753,,200,-1.2555161,1.6192592,1.0124551,0.59795049
0.21,-3.0017998,1.4940243,1.1390965,,210,-1.2017005,1.6610253,1.0094551,0.59872288
0.22,-3.0012803,1.5053161,1.0604004,,220,-1.1454054,1.7120879,0.98479056,0.59949577
0.23,-2.998925,1.4930853,1.1106118,,230,-1.0869515,1.7624619,0.97495381,0.60027348
0.24,-2.9987894,1.4646584,1.250096,,240,-1.0280722,1.7968218,1.0308659,0.60105706
0.25,-2.9999652,1.4287574,1.4383822,,250,-0.97116601,1.8077807,1.1729711,0.60183517
0.26,-3.0003528,1.3913018,1.6475597,,260,-0.91603973,1.8001893,1.380396,0.6025799
0.27,-3.001268,1.3571564,1.8483278,,270,-0.86187489,1.7968524,1.5715812,0.60325109
0.28,-3.0014016,1.3285053,2.0274199,,280,-0.80756858,1.823778,1.6582013,0.60381202
0.29,-3.0013991,1.3043405,2.182892,,290,-0.75540058,1.8593445,1.7076787,0.60424353
0.3,-3.0025678,1.285705,2.3033996,,300,-0.7055149,1.8967055,1.7439547,0.60453469
0.31,-3.0013865,1.2802797,2.3574743,,310,-0.65914313,1.9373957,1.7617124,0.60467787
0.32,-3.0000922,1.2951332,2.3113977,,320,-0.61948777,1.9541496,1.8443459,0.60466717
0.33,-3.0027252,1.3195553,2.2116736,,330,-0.589257,1.9487278,1.9777674,0.60448584
0.34,-3.0029893,1.3331283,2.1659698,,340,-0.5712198,1.926947,2.1315629,0.60410727
0.35,-3.0034969,1.3340044,2.1843788,,350,-0.56871584,1.8739243,2.3376019,0.60349945
0.36,-3.0042877,1.332062,2.2268715,,360,-0.58257156,1.8054903,2.5237547,0.60262205
0.37,-3.0042912,1.3192368,2.3300331,,370,-0.61084719,1.7831369,2.4753136,0.60144154
0.38,-3.0044081,1.2935363,2.4976483,,380,-0.65591526,1.8080596,2.1860065,0.59996741
0.39,-3.0046629,1.2686066,2.6632952,,390,-0.72018541,1.8233815,1.8556474,0.59825374
0.4,-3.0033574,1.2549156,2.7767443,,400,-0.80133693,1.8030702,1.5943498,0.59636486
0.41,-3.0031012,1.2559118,2.815438,,410,-0.89105038,1.7525804,1.4134557,0.5943533
0.42,-3.0041496,1.2678467,2.796775,,420,-0.97999985,1.6878199,1.2866159,0.59225635
0.43,-3.0040212,1.2840662,2.7575184,,430,-1.0630057,1.6299627,1.1601803,0.59010131
0.44,-3.0020672,1.2994759,2.7235198,,440,-1.1347733,1.590856,1.0064678,0.58791489
0.45,-3.002203,1.3080683,2.7147417,,450,-1.1948764,1.5675283,0.83754889,0.58572842
0.46,-3.0041539,1.306906,2.7422499,,460,-1.2472958,1.5536069,0.67092339,0.58357609
0.47,-3.0041503,1.2997685,2.7920434,,470,-1.2895479,1.5419546,0.5336266,0.58149116
0.48,-3.0050649,1.2907124,2.8381545,,480,-1.3266555,1.5254258,0.44338659,0.57950112
0.49,-3.0060989,1.2833177,2.8635356,,490,-1.3600051,1.4972076,0.41995459,0.57762379
0.5,-3.0054446,1.2882474,2.8245008,,500,-1.3890624,1.4517977,0.47829177,0.57586354
0.51,-3.0044229,1.307087,2.7165321,,510,-1.4169316,1.3971138,0.58350611,0.57420933
0.52,-3.0048235,1.3207836,2.6273952,,520,-1.4378343,1.354255,0.66865216,0.57264132
0.53,-3.0031245,1.3183249,2.6175516,,530,-1.452879,1.3280862,0.71140361,0.57114294
0.54,-3.0031204,1.3017098,2.675066,,540,-1.4647347,1.3089247,0.7350724,0.56970526
0.55,-3.002461,1.2765654,2.7788554,,550,-1.4715424,1.2976706,0.7359865,0.5683236
0.56,-3.0021906,1.2513101,2.8889247,,560,-1.4720171,1.3066031,0.67621937,0.56699835
0.57,-3.0027246,1.2329319,2.9721607,,570,-1.4670362,1.3410131,0.5421343,0.56574153
0.58,-3.0041652,1.215763,3.0494454,,580,-1.4563477,1.3844372,0.39312891,0.56457837
0.59,-3.0045412,1.19953,3.1187483,,590,-1.4417934,1.4171997,0.29624018,0.56353688
0.6,-3.0054432,1.199604,3.1039993,,600,-1.424762,1.4302776,0.28172486,0.56263525
0.61,-3.0063674,1.2246571,2.9668185,,610,-1.4028941,1.42717,0.33945253,0.56187586
0.62,-3.005871,1.2626546,2.7682452,,620,-1.3794964,1.4236362,0.41166875,0.56124773
0.63,-3.0053577,1.2904581,2.6157649,,630,-1.3547805,1.4342445,0.44853053,0.56073687
0.64,-3.0048251,1.2993328,2.5518443,,640,-1.3278641,1.4553037,0.4609268,0.5603354
0.65,-3.0056014,1.2975224,2.5351604,,650,-1.2986783,1.4722638,0.49390714,0.56003972
0.66,-3.0048101,1.2954723,2.5170426,,660,-1.2669943,1.4810756,0.55961354,0.55984282
0.67,-3.0055894,1.3041062,2.4399742,,670,-1.2365327,1.4862581,0.63726265,0.55973191
0.68,-3.005746,1.3262188,2.3002403,,680,-1.2081724,1.492629,0.70738262,0.55969182
0.69,-3.0055032,1.3395582,2.207024,,690,-1.1772216,1.5062435,0.75368865,0.55970882
0.7,-3.0045719,1.328361,2.2400763,,700,-1.1465154,1.5317267,0.75831285,0.55977403
0.71,-3.0045576,1.3054939,2.3424475,,710,-1.1173638,1.5640132,0.73756926,0.55988629
0.72,-3.0035011,1.2870125,2.4419518,,720,-1.0906176,1.5861452,0.74509634,0.56004872
0.73,-3.002858,1.2833408,2.4857064,,730,-1.0699974,1.589978,0.80163296,0.56025954
0.74,-3.0031451,1.2843898,2.5153656,,740,-1.0501034,1.5896422,0.86627381,0.56050819
0.75,-3.0023536,1.2702073,2.6193131,,750,-1.0325111,1.6029698,0.87895822,0.56078298
0.76,-3.001154,1.2477265,2.7602762,,760,-1.019509,1.6256638,0.85083859,0.56108125
0.77,-3.0020626,1.2388861,2.8289925,,770,-1.0090858,1.6393595,0.8444796,0.56140746
0.78,-3.00207,1.2499654,2.7956291,,780,-1.0033782,1.6377039,0.88009968,0.5617626
0.79,-3.0023333,1.2744348,2.6851482,,790,-1.0019878,1.6288986,0.93253579,0.56214009
0.8,-3.0027319,1.3068786,2.5249921,,800,-1.0066968,1.6238342,0.96356582,0.5625303
0.81,-3.0024833,1.3391091,2.3594732,,810,-1.0143935,1.6234738,0.97152991,0.56292709
0.82,-3.0035387,1.358779,2.2484046,,820,-1.0248703,1.618745,0.98456485,0.56332844
0.83,-3.0019753,1.3563907,2.24624,,830,-1.0408531,1.6009482,1.0275865,0.56373149
0.84,-3.0012903,1.336783,2.3264258,,840,-1.0608747,1.5685292,1.1069687,0.56412754
0.85,-3.0001099,1.3307288,2.3536232,,850,-1.0838121,1.5389164,1.1692406,0.56450184
0.86,-3.0009193,1.3436682,2.3002928,,860,-1.1085349,1.5229421,1.1820888,0.56484269
0.87,-2.9992269,1.3508336,2.2863728,,870,-1.1351227,1.4998903,1.210279,0.56514621
0.88,-2.999347,1.3437844,2.345306,,880,-1.1634199,1.4648965,1.2703179,0.5654065
0.89,-2.9989464,1.3295415,2.4480994,,890,-1.1918107,1.4328925,1.3171798,0.56561239
0.9,-2.9971228,1.3141585,2.5645138,,900,-1.2183243,1.4093113,1.3345685,0.56575487
